review_bucket,article_id,account,published_at,title,article_type_name,classification_confidence,matched_keywords,topic_tags,suggested_type,review_result,review_note,raw_path
按类型抽检:人物采访/人物风采,8771,群言杂志,2018-05-23,听钱理群先生谈如何提高写作能力,人物采访/人物风采,82,人物、先生,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2018-05-23_听钱理群先生谈如何提高写作能力_9c3a68d4dec5.md
按类型抽检:人物采访/人物风采,3755,中国民主同盟,2019-04-23,世界读书日 | 季羡林：天下第一好事，还是读书,人物采访/人物风采,58,先生,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2019-04-23_世界读书日 _ 季羡林：天下第一好事，还是读书_79afbd8cc4c8.md
按类型抽检:人物采访/人物风采,9226,群言杂志,2020-01-23,节日习俗｜潮汕新年有滋味儿,人物采访/人物风采,58,纪念,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2020-01-23_节日习俗｜潮汕新年有滋味儿_6bbd150021aa.md
按类型抽检:人物采访/人物风采,7137,中国民主同盟,2020-04-20,用雕塑与世界对话——第七届中华之光传播中华文化年度人物吴为山,人物采访/人物风采,74,人物,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2020-04-20_用雕塑与世界对话——第七届中华之光传播中华文化年度人物吴为山_6fb014f26e3b.md
按类型抽检:人物采访/人物风采,7374,中国民主同盟,2020-09-24,盟员风采│为救国宝，他在大队书记的桌上睡了一夜,人物采访/人物风采,95,采访、风采、盟员风采,参政议政,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2020-09-24_盟员风采│为救国宝，他在大队书记的桌上睡了一夜_a6e6f530dfc1.md
按类型抽检:人物采访/人物风采,6116,中国民主同盟,2021-02-22,民盟80年•微祝福丨一份来自战疫一线的祝福,人物采访/人物风采,74,风采、盟员风采、故事,80周年、组织建设、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2021-02-22_民盟80年•微祝福丨一份来自战疫一线的祝福_f3579043943d.md
按类型抽检:人物采访/人物风采,6137,中国民主同盟,2021-04-09,民盟80年•民盟之声丨《绒花》 《难忘今宵》……与你分享民盟盟员王酩创作的经典之声,人物采访/人物风采,82,风采、盟员风采、故事、先生,民盟史、80周年、组织建设、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2021-04-09_民盟80年•民盟之声丨《绒花》 《难忘今宵》……与你分享民盟盟员王酩创作的经典之声_a54f2be15e43.md
按类型抽检:人物采访/人物风采,685,上海民盟,2021-06-11,今天，丁仲礼主席为《共产党宣言》展示馆陈望道雕塑揭幕,人物采访/人物风采,82,故事、诞辰、纪念、先生,民盟史、上海民盟、80周年、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2021-06-11_今天，丁仲礼主席为《共产党宣言》展示馆陈望道雕塑揭幕_2929826a0f37.md
按类型抽检:人物采访/人物风采,354,上海民盟,2021-12-21,《逐梦同行》明天见！精彩预告抢先看,人物采访/人物风采,66,纪念、先生,民盟史、上海民盟、参政议政,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2021-12-21_《逐梦同行》明天见！精彩预告抢先看_2def404d2571.md
按类型抽检:人物采访/人物风采,1407,上海民盟,2022-04-14,战“疫”有民盟丨裘丹莉：越剧戏腔+民乐演绎《江山无恙》，愿上海早日战胜疫情,人物采访/人物风采,58,故事,上海民盟、组织建设、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2022-04-14_战“疫”有民盟丨裘丹莉：越剧戏腔+民乐演绎《江山无恙》，愿上海早日战胜疫情_d456e79c71e9.md
按类型抽检:人物采访/人物风采,4346,中国民主同盟,2022-11-09,共读经典 书香润盟 | 向习近平总书记学习,人物采访/人物风采,58,采访,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2022-11-09_共读经典 书香润盟 _ 向习近平总书记学习_2626ab8fbf9e.md
按类型抽检:人物采访/人物风采,3455,中国民主同盟,2023-03-20,“这不仅仅是一个人的传记！”电影《望道》3月24日全国上映,人物采访/人物风采,66,故事、先生,上海民盟、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2023-03-20_“这不仅仅是一个人的传记！”电影《望道》3月24日全国上映_ae0240a781ef.md
按类型抽检:人物采访/人物风采,7564,中国民主同盟,2024-02-19,纪录片《盟事》：用小切口讲述大历史,人物采访/人物风采,74,人物、采访、故事,80周年、参政议政、组织建设、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2024-02-19_纪录片《盟事》：用小切口讲述大历史_e422112fbac0.md
按类型抽检:人物采访/人物风采,9204,群言杂志,2024-12-24,网红城市：从哪里来，到哪里去？,人物采访/人物风采,58,故事,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2024-12-24_网红城市：从哪里来，到哪里去？_7419f0d38836.md
按类型抽检:人物采访/人物风采,4891,中国民主同盟,2025-09-05,在纪念中国人民抗日战争暨世界反法西斯战争胜利80周年文艺晚会上，盟员王传越倾情演唱——,人物采访/人物风采,74,纪念,80周年,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2025-09-05_在纪念中国人民抗日战争暨世界反法西斯战争胜利80周年文艺晚会上，盟员王传越倾情演唱——_48c548afa74f.md
按类型抽检:会议报道,6175,中国民主同盟,2014-02-27,民盟与第一届人民政协会议的召开,会议报道,82,会议、常委会,民盟史、参政议政,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2014-02-27_民盟与第一届人民政协会议的召开_9f7c8e93f3f8.md
按类型抽检:会议报道,5823,中国民主同盟,2016-04-25,救援日记 | 率队在厄瓜多尔抗震救灾的盟员何军和他的队员们,会议报道,58,会议,上海民盟,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2016-04-25_救援日记 _ 率队在厄瓜多尔抗震救灾的盟员何军和他的队员们_d7af5d0d0fd0.md
按类型抽检:会议报道,153,上海民盟,2016-10-03,【基层动态】民盟海诚总支委员会第二次代表大会召开,会议报道,82,会议、代表大会,民盟史、上海民盟、参政议政、组织建设、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2016-10-03_【基层动态】民盟海诚总支委员会第二次代表大会召开_749603dbaa27.md
按类型抽检:会议报道,177,上海民盟,2017-04-07,【大会直击】新一届民盟市委领导集体产生,会议报道,66,会议、代表大会,民盟史、上海民盟、参政议政、社会服务、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2017-04-07_【大会直击】新一届民盟市委领导集体产生_56b202669f8b.md
按类型抽检:会议报道,7398,中国民主同盟,2017-06-29,看一看新一届民盟云南省委领导班子成员都是谁？,会议报道,66,会议、常委会,参政议政,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2017-06-29_看一看新一届民盟云南省委领导班子成员都是谁？_e5868dc7e44f.md
